word,stem_group,type
얼떨떨해지다,327,지다
얼떨떨해하다,327,-어 하다
역겹다,328,원형
역겨워지다,328,지다
역겨워하다,328,-어 하다
역정나다,329,원형
역정내지다,329,지다
역정내다,329,명사+기타
연모하다,330,원형
연민하다,331,원형
연정하다,332,원형
연정해지다,332,지다
열광하다,333,원형
열광해지다,333,지다
열광해하다,333,-어 하다
열광되다,333,명사+기타
열망하다,334,원형
열망해지다,334,지다
열망해하다,334,-어 하다
열망되다,334,명사+기타
열애하다,335,원형
염려스럽다,336,원형
염려스러워지다,336,지다
염려스러워하다,336,-어 하다
염려하다,337,원형
염려해지다,337,지다
염려되다,337,명사+기타
염원하다,338,원형
염원해지다,338,지다
염원되다,338,명사+기타
염증나다,339,원형
염증나지다,339,지다
염증나하다,339,-어 하다
염증내다,339,명사+기타
영광스럽다,340,원형
영광스러워지다,340,지다
영광스러워하다,340,-어 하다
영광되다,340,명사+기타
예쁘다,341,원형
예뻐지다,341,지다
예뻐하다,341,-어 하다
외롭다,342,원형
외로워지다,342,지다
외로워하다,342,-어 하다
욕기부리다,343,원형
욕기부려지다,343,지다
욕심나다,344,원형
욕심내다,344,명사+기타
우려스럽다,345,원형
우려스러워지다,345,지다
우려스러워하다,345,-어 하다
우려하다,346,원형
우려해하다,346,-어 하다
우려되다,346,명사+기타
우습다,347,원형
우스워지다,347,지다
우스워하다,347,-어 하다
우울하다,348,원형
우울해지다,348,지다
우울해하다,348,-어 하다
우쭐하다,349,원형
우쭐해지다,349,지다
우쭐해하다,349,-어 하다
울분스럽다,350,원형
울분스러워지다,350,지다
울분스러워하다,350,-어 하다
울분하다,351,원형
울분해지다,351,지다
울분해하다,351,-어 하다
울적하다,352,원형
울적해지다,352,지다
울적해하다,352,-어 하다
울화치밀다,353,원형
울화치밀어지다,353,지다
울화치밀어하다,353,-어 하다
원망스럽다,354,원형
원망스러워지다,354,지다
원망스러워하다,354,-어 하다
원망하다,355,원형
원망해지다,355,지다
원망해하다,355,-어 하다
원망되다,355,명사+기타
원통스럽다,356,원형
원통스러워지다,356,지다
원통스러워하다,356,-어 하다
원통하다,357,원형
원통해지다,357,지다
원통해하다,357,-어 하다
위축되다,358,원형
위축돼지다,358,지다
위축돼하다,358,-어 하다
유감스럽다,359,원형
유감스러워지다,359,지다
유감스러워하다,359,-어 하다
유감되다,359,명사+기타
유쾌하다,360,원형
유쾌해지다,360,지다
유쾌해하다,360,-어 하다
은혜스럽다,361,원형
은혜스러워지다,361,지다
은혜스러워하다,361,-어 하다
은혜롭다,362,원형
은혜로워지다,362,지다
은혜로워하다,362,-어 하다
은혜되다,362,명사+기타
음울하다,363,원형
음울해지다,363,지다
음울해하다,363,-어 하다
의기소침하다,364,원형
의기소침해지다,364,지다
의기소침해하다,364,-어 하다
의기양양하다,365,원형
의기양양해지다,365,지다
의기양양해하다,365,-어 하다
의심스럽다,366,원형
의심스러워지다,366,지다
의심스러워하다,366,-어 하다
의심하다,367,원형
의심되다,367,명사+기타
의아스럽다,368,원형
의아스러워지다,368,지다
의아스러워하다,368,-어 하다
의아하다,369,원형
